"event_id","latitude","longitude","first_detection","last_detection","detection_count"
"EVT-IND-001","19.182651","72.513706","2025-08-22 00:00:00","2025-08-23 23:04:12","3"
"EVT-IND-002","23.417034","72.735028","2026-05-16 00:00:00","2026-05-18 08:29:24","8"
"EVT-IND-003","28.490653","77.395308","2025-09-26 00:00:00","2025-09-27 11:18:00","6"
"EVT-IND-004","22.018632","73.408907","2025-03-12 00:00:00","2025-03-12 11:46:48","10"
"EVT-IND-005","13.32032","80.294353","2026-03-07 00:00:00","2026-03-08 17:34:12","8"
"EVT-IND-006","17.26779","78.543664","2025-09-12 00:00:00","2025-09-12 06:04:48","6"
"EVT-IND-007","25.768106","85.187449","2025-08-23 00:00:00","2025-08-24 10:19:48","9"
"EVT-IND-008","26.748109","75.791673","2026-01-26 00:00:00","2026-01-28 21:19:48","5"
"EVT-IND-009","21.310121","72.514182","2025-09-05 00:00:00","2025-09-05 23:25:12","9"
"EVT-IND-010","18.603607","73.648748","2025-04-20 00:00:00","2025-04-20 04:54:36","8"
"EVT-IND-011","19.551716","73.169989","2025-12-23 00:00:00","2025-12-24 11:45:36","3"
"EVT-IND-012","23.13223","72.864744","2026-06-02 00:00:00","2026-06-02 03:30:36","6"
"EVT-IND-013","28.986993","77.263967","2025-10-21 00:00:00","2025-10-21 18:06:36","8"
"EVT-IND-014","21.969409","72.927371","2026-05-10 00:00:00","2026-05-10 13:31:12","11"
"EVT-IND-015","12.923456","79.841738","2026-06-08 00:00:00","2026-06-08 08:36:36","6"
"EVT-IND-016","17.922515","78.550832","2025-07-21 00:00:00","2025-07-21 23:43:12","3"
"EVT-IND-017","25.819264","84.999488","2025-09-27 00:00:00","2025-09-27 15:58:48","9"
"EVT-IND-018","26.795457","76.107866","2025-11-10 00:00:00","2025-11-10 22:03:00","5"
"EVT-IND-019","20.92662","72.752749","2025-11-19 00:00:00","2025-11-21 08:55:48","6"
"EVT-IND-020","18.630862","74.278749","2025-09-10 00:00:00","2025-09-11 07:48:36","8"
"EVT-IND-021","19.043008","72.262495","2025-05-29 00:00:00","2025-05-29 23:43:12","3"
"EVT-IND-022","22.936653","72.843468","2026-03-22 00:00:00","2026-03-24 01:39:00","2"
"EVT-IND-023","28.6683","77.332115","2026-06-16 00:00:00","2026-06-17 04:09:00","4"
"EVT-IND-024","22.398605","72.791856","2025-01-27 00:00:00","2025-01-28 22:58:12","10"
"EVT-IND-025","12.98044","80.234479","2026-03-23 00:00:00","2026-03-23 18:16:48","3"
"EVT-IND-026","16.848149","78.78904","2025-08-14 00:00:00","2025-08-16 13:24:00","11"
"EVT-IND-027","25.747748","85.427396","2025-10-26 00:00:00","2025-10-28 04:48:00","8"
"EVT-IND-028","27.168171","75.237086","2025-02-21 00:00:00","2025-02-21 08:39:00","9"
"EVT-IND-029","21.279403","73.235459","2025-01-05 00:00:00","2025-01-05 08:08:24","9"
"EVT-IND-030","18.649325","74.153004","2025-03-05 00:00:00","2025-03-05 12:20:24","9"
"EVT-IND-031","19.425938","72.507212","2026-02-03 00:00:00","2026-02-03 10:17:24","10"
"EVT-IND-032","23.837179","72.499593","2026-05-29 00:00:00","2026-05-29 23:07:48","6"
"EVT-IND-033","28.797366","77.305696","2025-10-22 00:00:00","2025-10-24 16:47:24","8"
"EVT-IND-034","22.492723","72.934564","2025-02-18 00:00:00","2025-02-20 10:06:00","8"
"EVT-IND-035","12.563935","79.453934","2025-05-13 00:00:00","2025-05-15 06:09:36","8"
"EVT-IND-036","17.417244","78.193611","2025-09-30 00:00:00","2025-09-30 04:57:36","9"
"EVT-IND-037","25.54822","84.496783","2025-08-11 00:00:00","2025-08-11 23:05:24","4"
"EVT-IND-038","26.3955","76.160828","2026-05-26 00:00:00","2026-05-26 23:19:48","6"
"EVT-IND-039","20.874219","72.947675","2025-08-05 00:00:00","2025-08-06 18:04:12","3"
"EVT-IND-040","18.642098","73.714223","2025-05-02 00:00:00","2025-05-04 05:34:12","7"
"EVT-IND-041","19.108032","73.080972","2026-04-05 00:00:00","2026-04-05 21:38:24","10"
"EVT-IND-042","23.181388","72.463364","2025-01-31 00:00:00","2025-02-01 03:32:24","10"
"EVT-IND-043","28.423677","78.056145","2025-08-31 00:00:00","2025-08-31 13:36:36","6"
"EVT-IND-044","22.621435","73.751328","2025-03-30 00:00:00","2025-03-31 10:51:00","6"
"EVT-IND-045","12.95608","79.941307","2025-05-12 00:00:00","2025-05-13 22:37:48","10"
"EVT-IND-046","17.322271","78.398018","2026-04-01 00:00:00","2026-04-02 13:20:24","5"
"EVT-IND-047","25.486621","84.873865","2025-03-06 00:00:00","2025-03-06 15:24:36","2"
"EVT-IND-048","26.856523","75.558779","2025-07-02 00:00:00","2025-07-03 11:25:48","4"
"EVT-IND-049","21.081819","72.958309","2025-10-06 00:00:00","2025-10-08 22:55:12","6"
"EVT-IND-050","18.607563","74.494155","2026-06-08 00:00:00","2026-06-09 06:48:36","9"
"EVT-IND-051","18.873861","73.323757","2025-04-30 00:00:00","2025-05-02 08:09:36","9"
"EVT-IND-052","22.74019","72.122478","2026-01-21 00:00:00","2026-01-22 06:05:24","10"
"EVT-IND-053","28.469827","77.685925","2025-05-18 00:00:00","2025-05-18 07:56:24","10"
"EVT-IND-054","22.490778","72.658158","2025-04-12 00:00:00","2025-04-13 05:28:12","3"
"EVT-IND-055","12.946038","80.917439","2025-07-05 00:00:00","2025-07-07 06:38:24","10"
"EVT-IND-056","17.069152","78.366881","2026-06-02 00:00:00","2026-06-02 18:54:00","7"
"EVT-IND-057","25.886633","85.259873","2025-07-07 00:00:00","2025-07-09 17:10:48","4"
"EVT-IND-058","26.760007","75.619614","2026-03-16 00:00:00","2026-03-16 04:52:48","7"
