latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
27.52979,77.66254,329.59,0.46,0.39,2026-08-18,2046,N21,VIIRS,n,2.0NRT,291.77,6.28,N
27.66689,76.13504,302.42,0.41,0.37,2026-08-18,2046,N21,VIIRS,n,2.0NRT,288.35,0.69,N
28.37118,77.22666,309.32,0.43,0.38,2026-08-18,2046,N21,VIIRS,n,2.0NRT,291.63,2.47,N
28.77098,77.56678,309.81,0.44,0.38,2026-08-18,2046,N21,VIIRS,n,2.0NRT,285.72,1.1,N
29.47554,76.85881,304.25,0.42,0.38,2026-08-19,2027,N21,VIIRS,n,2.0NRT,280.44,0.93,N
28.13022,76.89521,307.03,0.47,0.47,2026-08-20,2008,N21,VIIRS,n,2.0NRT,287.76,0.92,N
28.71234,76.83447,303.17,0.48,0.48,2026-08-20,2008,N21,VIIRS,n,2.0NRT,286.02,2.32,N
28.71263,76.83237,301.89,0.48,0.48,2026-08-20,2008,N21,VIIRS,n,2.0NRT,285.65,1.57,N
28.74317,76.92706,301.97,0.47,0.48,2026-08-20,2008,N21,VIIRS,n,2.0NRT,288.1,2.47,N
29.45455,76.86482,306.95,0.49,0.48,2026-08-20,2008,N21,VIIRS,n,2.0NRT,288.8,4.5,N
29.45779,76.86746,324.8,0.49,0.48,2026-08-20,2008,N21,VIIRS,n,2.0NRT,288.1,11.33,N
29.45827,76.86245,339.56,0.49,0.48,2026-08-20,2008,N21,VIIRS,n,2.0NRT,289.43,11.33,N
29.45899,76.86539,343.34,0.49,0.48,2026-08-20,2008,N21,VIIRS,n,2.0NRT,288.53,13.66,N
29.47335,76.85711,305.34,0.49,0.48,2026-08-20,2008,N21,VIIRS,n,2.0NRT,288.66,3.76,N
