event_id,latitude,longitude,event_date,frp_mean,frp_max,confidence,facility_distance,facility_count,industrial_ratio,forest_ratio,agriculture_ratio,builtup_ratio,detection_count,event_duration_hours,label,recurrence_frequency
EVT-IND-001,19.182651,72.513706,2025-08-22,133.092,149.147,0.985,1153.65,5,0.909,0.01,0.054,0.472,3,47.07,INDUSTRIAL_FIRE,0
EVT-IND-002,23.417034,72.735028,2026-05-16,60.222,88.282,0.793,1250.07,2,0.9,0.028,0.116,0.786,8,56.49,INDUSTRIAL_FIRE,0
EVT-IND-003,28.490653,77.395308,2025-09-26,48.915,76.419,0.936,1452.89,1,0.758,0.03,0.056,0.364,6,35.3,INDUSTRIAL_FIRE,0
EVT-IND-004,22.018632,73.408907,2025-03-12,92.759,155.325,0.927,502.93,4,0.916,0.031,0.035,0.659,10,11.78,INDUSTRIAL_FIRE,0
EVT-IND-005,13.32032,80.294353,2026-03-07,128.052,202.178,0.944,715.43,4,0.838,0.011,0.014,0.651,8,41.57,INDUSTRIAL_FIRE,0
EVT-IND-006,17.26779,78.543664,2025-09-12,110.805,162.817,0.844,94.69,2,0.721,0.033,0.102,0.39,6,6.08,INDUSTRIAL_FIRE,0
EVT-IND-007,25.768106,85.187449,2025-08-23,111.34,182.366,0.92,639.26,4,0.919,0.013,0.003,0.304,9,34.33,INDUSTRIAL_FIRE,0
EVT-IND-008,26.748109,75.791673,2026-01-26,48.608,76.424,0.874,602.48,2,0.858,0.029,0.011,0.321,5,69.33,INDUSTRIAL_FIRE,0
EVT-IND-009,21.310121,72.514182,2025-09-05,175.222,286.324,0.931,701.57,2,0.74,0.008,0.108,0.523,9,23.42,INDUSTRIAL_FIRE,0
EVT-IND-010,18.603607,73.648748,2025-04-20,157.775,255.421,0.931,676.53,2,0.843,0.052,0.01,0.499,8,4.91,INDUSTRIAL_FIRE,0
EVT-IND-011,19.551716,73.169989,2025-12-23,41.027,61.161,0.816,1391.42,1,0.842,0.028,0.071,0.264,3,35.76,INDUSTRIAL_FIRE,0
EVT-IND-012,23.13223,72.864744,2026-06-02,100.432,142.416,0.977,879.01,3,0.738,0.027,0.062,0.513,6,3.51,INDUSTRIAL_FIRE,0
EVT-IND-013,28.986993,77.263967,2025-10-21,110.876,125.448,0.921,457.79,1,0.868,0.058,0.092,0.315,8,18.11,INDUSTRIAL_FIRE,0
EVT-IND-014,21.969409,72.927371,2026-05-10,82.493,137.956,0.95,509.85,2,0.746,0.041,0.031,0.812,11,13.52,INDUSTRIAL_FIRE,0
EVT-IND-015,12.923456,79.841738,2026-06-08,163.21,263.006,0.967,1345.5,5,0.821,0.025,0.093,0.647,6,8.61,INDUSTRIAL_FIRE,0
EVT-IND-016,17.922515,78.550832,2025-07-21,170.206,209.477,0.806,1255.11,5,0.709,0.048,0.105,0.368,3,23.72,INDUSTRIAL_FIRE,0
EVT-IND-017,25.819264,84.999488,2025-09-27,47.304,50.164,0.828,241.14,3,0.874,0.01,0.061,0.667,9,15.98,INDUSTRIAL_FIRE,0
EVT-IND-018,26.795457,76.107866,2025-11-10,139.543,160.236,0.806,1394.97,1,0.749,0.039,0.08,0.823,5,22.05,INDUSTRIAL_FIRE,0
EVT-IND-019,20.92662,72.752749,2025-11-19,123.266,139.22,0.809,657.72,3,0.969,0.048,0.112,0.733,6,56.93,INDUSTRIAL_FIRE,0
EVT-IND-020,18.630862,74.278749,2025-09-10,153.561,253.01,0.829,819.62,4,0.936,0.048,0.05,0.475,8,31.81,INDUSTRIAL_FIRE,0
EVT-IND-021,19.043008,72.262495,2025-05-29,63.415,77.842,0.937,1234.02,3,0.685,0.005,0.071,0.338,3,23.72,INDUSTRIAL_FIRE,0
EVT-IND-022,22.936653,72.843468,2026-03-22,50.657,64.008,0.812,217.46,3,0.668,0.014,0.006,0.605,2,49.65,INDUSTRIAL_FIRE,0
EVT-IND-023,28.6683,77.332115,2026-06-16,160.626,271.192,0.789,313.17,3,0.728,0.02,0.069,0.5,4,28.15,INDUSTRIAL_FIRE,0
